,return_time,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.),departure_time_2
53,2019-06-30 04:56:06,122,Lintulahdenkatu,1.0,Kaivopuisto,3920.0,1169,2019-06-30 04:36:32
54,2019-06-30 04:40:48,16,Liisanpuistikko,16.0,Liisanpuistikko,30.0,255,2019-06-30 04:36:29
55,2019-06-30 04:36:45,121,Vilhonvuorenkatu,121.0,Vilhonvuorenkatu,0.0,17,2019-06-30 04:36:23
56,2019-06-30 04:37:25,256,Herttoniemenranta,255.0,Laivalahden puistotie,463.0,134,2019-06-30 04:35:07
57,2019-06-30 04:42:14,41,Ympyrätalo,118.0,Fleminginkatu,1047.0,432,2019-06-30 04:35:02
58,2019-06-30 04:42:25,137,Arabian kauppakeskus,138.0,Arabiankatu,790.0,467,2019-06-30 04:34:34
59,2019-06-30 04:38:18,232,Oulunkylän asema,234.0,Otto Brandtin tie,780.0,238,2019-06-30 04:34:16
60,2019-06-30 04:42:01,122,Lintulahdenkatu,44.0,Sörnäinen (M),671.0,499,2019-06-30 04:33:38
61,2019-06-30 04:39:05,39,Ooppera,80.0,Jäähalli,948.0,328,2019-06-30 04:33:36
62,2019-06-30 04:38:45,29,Baana,60.0,Porkkalankatu,1094.0,309,2019-06-30 04:33:33
63,2019-06-30 04:47:42,39,Ooppera,111.0,Esterinportti,2105.0,846,2019-06-30 04:33:31
64,2019-06-30 04:46:36,121,Vilhonvuorenkatu,235.0,Katariina Saksilaisen katu,4478.0,828,2019-06-30 04:32:46
65,2019-06-30 04:34:10,232,Oulunkylän asema,232.0,Oulunkylän asema,44.0,86,2019-06-30 04:32:40
66,2019-06-30 04:32:52,274,Voikukantie,274.0,Voikukantie,2.0,22,2019-06-30 04:32:28
67,2019-06-30 04:55:16,263,Herttoniemen kirkko,120.0,Mäkelänkatu,4451.0,1376,2019-06-30 04:32:16
68,2019-06-30 04:43:46,37,Töölönkatu,86.0,Kuusitie,2544.0,689,2019-06-30 04:32:12
69,2019-06-30 04:38:38,89,Tilkanvierto,105.0,Tilkantori,988.0,382,2019-06-30 04:32:11
70,2019-06-30 04:55:10,263,Herttoniemen kirkko,120.0,Mäkelänkatu,4469.0,1386,2019-06-30 04:31:59
71,2019-06-30 04:43:21,26,Kamppi (M),57.0,Lauttasaaren ostoskeskus,3026.0,717,2019-06-30 04:31:19
72,2019-06-30 04:54:53,57,Lauttasaaren ostoskeskus,527.0,Otsolahti,4796.0,1415,2019-06-30 04:31:13
73,2019-06-30 04:37:35,769,Tiurintie,551.0,Tietäjä,1922.0,414,2019-06-30 04:30:39
74,2019-06-30 04:35:35,12,Kanavaranta,13.0,Merisotilaantori,1094.0,292,2019-06-30 04:30:39
75,2019-06-30 04:34:53,63,Jätkäsaarenlaituri,201.0,Länsisatamankuja,892.0,255,2019-06-30 04:30:23
76,2019-06-30 04:35:31,114,Ratapihantie,111.0,Esterinportti,612.0,305,2019-06-30 04:30:21
77,2019-06-30 04:55:22,149,Toinen linja,85.0,Jalavatie,2803.0,1503,2019-06-30 04:30:15
78,2019-06-30 04:56:55,221,Thalianaukio,239.0,Viikin tiedepuisto,7338.0,1640,2019-06-30 04:29:30
79,2019-06-30 04:38:53,40,Hakaniemi (M),125.0,Arielinkatu,2260.0,578,2019-06-30 04:29:11
80,2019-06-30 04:38:41,40,Hakaniemi (M),125.0,Arielinkatu,2258.0,568,2019-06-30 04:29:07
81,2019-06-30 04:32:16,63,Jätkäsaarenlaituri,64.0,Tyynenmerenkatu,596.0,212,2019-06-30 04:28:37
82,2019-06-30 04:41:39,161,Eteläesplanadi,149.0,Toinen linja,2182.0,806,2019-06-30 04:28:11
83,2019-06-30 04:36:29,559,Pohjankulma,565.0,Mankkaanaukio,1986.0,499,2019-06-30 04:28:06
84,2019-06-30 04:38:37,116,Linnanmäki,134.0,Haukilahdenkatu,2025.0,685,2019-06-30 04:27:06
85,2019-06-30 04:36:06,723,Säterinniitty,751.0,Vallipolku,2387.0,567,2019-06-30 04:26:34
86,2019-06-30 04:31:46,101,Munkkivuoren ostoskeskus,99.0,Muusantori,1513.0,335,2019-06-30 04:26:06
87,2019-06-30 04:40:29,35,Cygnaeuksenkatu,78.0,Messeniuksenkatu,1825.0,898,2019-06-30 04:25:27
88,2019-06-30 04:35:16,222,Huovitie,106.0,Korppaanmäentie,2303.0,595,2019-06-30 04:25:17
89,2019-06-30 04:51:02,86,Kuusitie,36.0,Apollonkatu,2997.0,1552,2019-06-30 04:25:05
90,2019-06-30 04:31:31,729,Leppävaaranaukio,707.0,Majurinkulma,1517.0,386,2019-06-30 04:25:02
91,2019-06-30 04:44:31,39,Ooppera,101.0,Munkkivuoren ostoskeskus,3988.0,1178,2019-06-30 04:24:49
92,2019-06-30 04:51:31,30,Itämerentori,503.0,Keilalahti,5433.0,1606,2019-06-30 04:24:43
93,2019-06-30 04:40:55,1,Kaivopuisto,40.0,Hakaniemi (M),3794.0,971,2019-06-30 04:24:39
94,2019-06-30 04:24:50,161,Eteläesplanadi,161.0,Eteläesplanadi,2.0,26,2019-06-30 04:24:19
95,2019-06-30 04:40:59,26,Kamppi (M),58.0,Lauttasaarensilta,2491.0,998,2019-06-30 04:24:17
96,2019-06-30 04:39:47,35,Cygnaeuksenkatu,78.0,Messeniuksenkatu,1864.0,933,2019-06-30 04:24:09
97,2019-06-30 04:32:55,46,Diakoniapuisto,76.0,Olympiastadion,1055.0,523,2019-06-30 04:24:08
98,2019-06-30 04:25:10,35,Cygnaeuksenkatu,35.0,Cygnaeuksenkatu,26.0,68,2019-06-30 04:23:56
99,2019-06-30 04:40:14,35,Cygnaeuksenkatu,78.0,Messeniuksenkatu,2101.0,989,2019-06-30 04:23:41
100,2019-06-30 04:28:00,232,Oulunkylän asema,234.0,Otto Brandtin tie,778.0,255,2019-06-30 04:23:40
101,2019-06-30 04:26:14,256,Herttoniemenranta,254.0,Agnetankuja,880.0,185,2019-06-30 04:23:05
102,2019-06-30 04:45:33,161,Eteläesplanadi,24.0,Mannerheimintie,508.0,1405,2019-06-30 04:22:03
103,2019-06-30 04:43:41,118,Fleminginkatu,146.0,Pohjolanaukio,3849.0,1309,2019-06-30 04:21:47
104,2019-06-30 04:35:04,14,Senaatintori,149.0,Toinen linja,3007.0,831,2019-06-30 04:21:09
105,2019-06-30 04:23:24,161,Eteläesplanadi,161.0,Eteläesplanadi,32.0,138,2019-06-30 04:21:01
106,2019-06-30 04:24:05,29,Baana,30.0,Itämerentori,447.0,196,2019-06-30 04:20:45
107,2019-06-30 04:24:17,30,Itämerentori,201.0,Länsisatamankuja,933.0,259,2019-06-30 04:19:53
108,2019-06-30 04:39:10,37,Töölönkatu,141.0,Intiankatu,4280.0,1160,2019-06-30 04:19:46
109,2019-06-30 04:23:30,41,Ympyrätalo,42.0,Haapaniemenkatu,467.0,244,2019-06-30 04:19:21
110,2019-06-30 04:25:30,39,Ooppera,82.0,Töölöntulli,1339.0,394,2019-06-30 04:18:51
111,2019-06-30 04:21:39,36,Apollonkatu,37.0,Töölönkatu,402.0,169,2019-06-30 04:18:46
112,2019-06-30 04:30:19,37,Töölönkatu,85.0,Jalavatie,2483.0,691,2019-06-30 04:18:44
113,2019-06-30 04:41:11,8,Vanha kirkkopuisto,143.0,Kuikkarinne,4633.0,1377,2019-06-30 04:18:12
114,2019-06-30 04:27:09,30,Itämerentori,57.0,Lauttasaaren ostoskeskus,1823.0,549,2019-06-30 04:17:58
115,2019-06-30 04:41:25,8,Vanha kirkkopuisto,143.0,Kuikkarinne,4427.0,1420,2019-06-30 04:17:40
116,2019-06-30 04:52:30,114,Ratapihantie,210.0,Pajamäki,6799.0,2105,2019-06-30 04:17:20
117,2019-06-30 04:43:27,57,Lauttasaaren ostoskeskus,518.0,Tuulimäki,5049.0,1563,2019-06-30 04:17:19
118,2019-06-30 04:26:59,127,Teurastamo,117.0,Brahen puistikko,1492.0,626,2019-06-30 04:16:28
119,2019-06-30 04:30:31,19,Rautatientori / itä,5.0,Sepänkatu,2003.0,840,2019-06-30 04:16:27
120,2019-06-30 04:26:58,260,Herttoniemi (M),264.0,Eränkävijäntori,1214.0,654,2019-06-30 04:16:02
121,2019-06-30 04:29:52,117,Brahen puistikko,145.0,Pohjolankatu,3011.0,834,2019-06-30 04:15:53
122,2019-06-30 04:30:52,6,Hietalahdentori,53.0,Heikkiläntie,2997.0,922,2019-06-30 04:15:25
123,2019-06-30 04:23:43,43,Karhupuisto,39.0,Ooppera,1435.0,504,2019-06-30 04:15:14
124,2019-06-30 04:29:44,123,Näkinsilta,139.0,Kaironkatu,4252.0,933,2019-06-30 04:14:09
125,2019-06-30 04:28:46,635,Kuunkatu,625.0,Suomenlahdentie,1931.0,882,2019-06-30 04:14:00
126,2019-06-30 04:20:44,5,Sepänkatu,63.0,Jätkäsaarenlaituri,1270.0,404,2019-06-30 04:13:54
127,2019-06-30 04:43:37,26,Kamppi (M),501.0,Hanasaari,5523.0,1792,2019-06-30 04:13:40
128,2019-06-30 04:22:37,635,Kuunkatu,641.0,Komeetankatu,941.0,560,2019-06-30 04:13:13
129,2019-06-30 04:17:47,259,Petter Wetterin tie,263.0,Herttoniemen kirkko,714.0,290,2019-06-30 04:12:56
130,2019-06-30 04:40:38,135,Velodrominrinne,226.0,Lepolantie,5486.0,1660,2019-06-30 04:12:54
131,2019-06-30 04:18:52,282,Karhulantie,279.0,Puotinkylän kartano,1094.0,357,2019-06-30 04:12:51
132,2019-06-30 04:20:50,63,Jätkäsaarenlaituri,57.0,Lauttasaaren ostoskeskus,2299.0,515,2019-06-30 04:12:10
133,2019-06-30 04:24:19,132,Hollolantie,39.0,Ooppera,2715.0,726,2019-06-30 04:12:08
134,2019-06-30 04:17:26,541,"Aalto-yliopisto (M), Korkeakouluaukio",547.0,Jämeräntaival,698.0,316,2019-06-30 04:12:06
135,2019-06-30 04:19:11,132,Hollolantie,45.0,Brahen kenttä,1366.0,425,2019-06-30 04:12:01
136,2019-06-30 04:13:47,129,Pernajantie,128.0,Päijänteentie,459.0,165,2019-06-30 04:10:57
137,2019-06-30 04:18:08,22,Rautatientori / länsi,70.0,Sammonpuistikko,1119.0,448,2019-06-30 04:10:36
138,2019-06-30 04:19:41,22,Rautatientori / länsi,26.0,Kamppi (M),801.0,564,2019-06-30 04:10:13
139,2019-06-30 04:30:57,140,Verkatehtaanpuisto,129.0,Pernajantie,3985.0,1245,2019-06-30 04:10:09
140,2019-06-30 04:40:17,41,Ympyrätalo,85.0,Jalavatie,5893.0,1830,2019-06-30 04:09:43
141,2019-06-30 04:13:59,249,Isosaarentie,248.0,Gunillantie,865.0,259,2019-06-30 04:09:39
142,2019-06-30 04:39:16,41,Ympyrätalo,85.0,Jalavatie,6115.0,1778,2019-06-30 04:09:37
143,2019-06-30 04:14:16,581,Niittykumpu (M),575.0,Tontunmäentie,912.0,277,2019-06-30 04:09:34
144,2019-06-30 04:14:08,249,Isosaarentie,248.0,Gunillantie,812.0,271,2019-06-30 04:09:33
145,2019-06-30 04:18:38,547,Jämeräntaival,527.0,Otsolahti,2097.0,543,2019-06-30 04:09:30
146,2019-06-30 04:30:54,69,Kalevankatu,143.0,Kuikkarinne,3862.0,1306,2019-06-30 04:09:00
147,2019-06-30 04:17:06,15,Ritarikatu,41.0,Ympyrätalo,1603.0,495,2019-06-30 04:08:47
148,2019-06-30 04:28:58,15,Ritarikatu,78.0,Messeniuksenkatu,3861.0,1223,2019-06-30 04:08:24
149,2019-06-30 04:25:17,6,Hietalahdentori,149.0,Toinen linja,3784.0,1018,2019-06-30 04:08:17
150,2019-06-30 04:11:49,42,Haapaniemenkatu,44.0,Sörnäinen (M),647.0,208,2019-06-30 04:08:17
151,2019-06-30 04:15:14,19,Rautatientori / itä,36.0,Apollonkatu,1566.0,493,2019-06-30 04:06:58
152,2019-06-30 04:07:26,46,Diakoniapuisto,46.0,Diakoniapuisto,14.0,55,2019-06-30 04:06:26
153,2019-06-30 04:12:59,44,Sörnäinen (M),124.0,Isoisänsilta,1621.0,397,2019-06-30 04:06:21
154,2019-06-30 04:21:19,11,Unioninkatu,39.0,Ooppera,2483.0,918,2019-06-30 04:05:55
155,2019-06-30 04:11:48,22,Rautatientori / länsi,37.0,Töölönkatu,1227.0,371,2019-06-30 04:05:33
156,2019-06-30 04:30:07,40,Hakaniemi (M),148.0,Juhana Herttuan tie,6219.0,1483,2019-06-30 04:05:21
157,2019-06-30 04:06:58,69,Kalevankatu,69.0,Kalevankatu,0.0,112,2019-06-30 04:05:03
158,2019-06-30 04:28:32,122,Lintulahdenkatu,86.0,Kuusitie,4333.0,1414,2019-06-30 04:04:53
159,2019-06-30 04:09:20,211,Haagan tori,212.0,Tunnelitie,596.0,273,2019-06-30 04:04:42
160,2019-06-30 04:04:41,69,Kalevankatu,69.0,Kalevankatu,1.0,16,2019-06-30 04:04:23
161,2019-06-30 04:17:24,20,Kaisaniemenpuisto,122.0,Lintulahdenkatu,1892.0,787,2019-06-30 04:04:12
162,2019-06-30 04:23:23,11,Unioninkatu,134.0,Haukilahdenkatu,4915.0,1161,2019-06-30 04:03:57
163,2019-06-30 04:13:55,16,Liisanpuistikko,44.0,Sörnäinen (M),1946.0,595,2019-06-30 04:03:56
164,2019-06-30 04:21:54,763,Kalkkipellonmäki,95.0,Munkkiniemen aukio,4719.0,1090,2019-06-30 04:03:39
165,2019-06-30 04:09:57,283,Alakiventie,284.0,Myllypuro (M),612.0,380,2019-06-30 04:03:32
166,2019-06-30 04:11:44,46,Diakoniapuisto,37.0,Töölönkatu,1431.0,491,2019-06-30 04:03:29
167,2019-06-30 04:12:51,124,Isoisänsilta,121.0,Vilhonvuorenkatu,922.0,573,2019-06-30 04:03:13
168,2019-06-30 04:13:43,11,Unioninkatu,70.0,Sammonpuistikko,2017.0,630,2019-06-30 04:03:09
169,2019-06-30 04:29:56,124,Isoisänsilta,36.0,Apollonkatu,4537.0,1605,2019-06-30 04:03:06
170,2019-06-30 04:03:37,11,Unioninkatu,11.0,Unioninkatu,2.0,29,2019-06-30 04:03:04
171,2019-06-30 04:12:00,119,Gebhardinaukio,114.0,Ratapihantie,1396.0,541,2019-06-30 04:02:56
172,2019-06-30 04:09:35,41,Ympyrätalo,22.0,Rautatientori / länsi,1541.0,404,2019-06-30 04:02:46
173,2019-06-30 04:12:28,30,Itämerentori,201.0,Länsisatamankuja,1172.0,581,2019-06-30 04:02:42
174,2019-06-30 04:10:32,11,Unioninkatu,63.0,Jätkäsaarenlaituri,1874.0,479,2019-06-30 04:02:28
175,2019-06-30 04:38:16,11,Unioninkatu,87.0,Kustaankatu,2581.0,2144,2019-06-30 04:02:28
176,2019-06-30 04:09:28,41,Ympyrätalo,22.0,Rautatientori / länsi,1605.0,420,2019-06-30 04:02:25
177,2019-06-30 04:22:48,39,Ooppera,26.0,Kamppi (M),1803.0,1225,2019-06-30 04:02:18
178,2019-06-30 04:17:13,149,Toinen linja,8.0,Vanha kirkkopuisto,2985.0,894,2019-06-30 04:02:17
179,2019-06-30 04:21:26,39,Ooppera,82.0,Töölöntulli,1419.0,1145,2019-06-30 04:02:16
180,2019-06-30 04:14:36,14,Senaatintori,41.0,Ympyrätalo,1500.0,745,2019-06-30 04:02:08
181,2019-06-30 04:19:04,202,Merihaka,16.0,Liisanpuistikko,1476.0,1021,2019-06-30 04:01:58
182,2019-06-30 04:18:12,40,Hakaniemi (M),134.0,Haukilahdenkatu,3156.0,994,2019-06-30 04:01:34
183,2019-06-30 04:23:16,22,Rautatientori / länsi,138.0,Arabiankatu,5674.0,1300,2019-06-30 04:01:32
184,2019-06-30 04:10:14,40,Hakaniemi (M),41.0,Ympyrätalo,392.0,529,2019-06-30 04:01:21
185,2019-06-30 04:49:13,161,Eteläesplanadi,19.0,Rautatientori / itä,2805.0,2881,2019-06-30 04:01:06
186,2019-06-30 04:15:18,82,Töölöntulli,96.0,Huopalahdentie,2058.0,850,2019-06-30 04:01:04
187,2019-06-30 04:05:20,274,Voikukantie,280.0,Puotilan ostoskeskus,679.0,261,2019-06-30 04:00:55
188,2019-06-30 04:02:14,11,Unioninkatu,11.0,Unioninkatu,46.0,77,2019-06-30 04:00:53
189,2019-06-30 04:30:21,42,Haapaniemenkatu,57.0,Lauttasaaren ostoskeskus,5878.0,1774,2019-06-30 04:00:44
190,2019-06-30 04:10:35,11,Unioninkatu,63.0,Jätkäsaarenlaituri,0.0,589,2019-06-30 04:00:43
191,2019-06-30 04:30:47,42,Haapaniemenkatu,57.0,Lauttasaaren ostoskeskus,5899.0,1802,2019-06-30 04:00:42
192,2019-06-30 04:31:48,76,Olympiastadion,543.0,Otaranta,6493.0,1866,2019-06-30 04:00:37
193,2019-06-30 04:14:53,21,Töölönlahdenkatu,58.0,Lauttasaarensilta,3152.0,853,2019-06-30 04:00:35
194,2019-06-30 04:27:52,49,Annankatu,118.0,Fleminginkatu,4898.0,1653,2019-06-30 04:00:18
195,2019-06-30 04:03:45,18,Porthania,18.0,Porthania,8.0,203,2019-06-30 04:00:17
196,2019-06-30 04:12:07,259,Petter Wetterin tie,254.0,Agnetankuja,1070.0,685,2019-06-30 04:00:10
197,2019-06-30 04:00:26,161,Eteläesplanadi,161.0,Eteläesplanadi,0.0,24,2019-06-30 03:59:58
198,2019-06-30 03:59:56,525,Mäntyviita,525.0,Mäntyviita,0.0,10,2019-06-30 03:59:44
199,2019-06-30 04:05:15,63,Jätkäsaarenlaituri,67.0,Perämiehenkatu,898.0,329,2019-06-30 03:59:40
200,2019-06-30 04:16:11,11,Unioninkatu,13.0,Merisotilaantori,1897.0,992,2019-06-30 03:59:35
201,2019-06-30 04:05:21,274,Voikukantie,280.0,Puotilan ostoskeskus,688.0,343,2019-06-30 03:59:34
202,2019-06-30 04:00:40,274,Voikukantie,274.0,Voikukantie,46.0,63,2019-06-30 03:59:33
203,2019-06-30 04:00:13,21,Töölönlahdenkatu,21.0,Töölönlahdenkatu,22.0,38,2019-06-30 03:59:30
204,2019-06-30 04:00:27,11,Unioninkatu,11.0,Unioninkatu,6.0,61,2019-06-30 03:59:22
205,2019-06-30 04:03:07,101,Munkkivuoren ostoskeskus,100.0,Teljäntie,831.0,238,2019-06-30 03:59:04
206,2019-06-30 04:16:36,41,Ympyrätalo,62.0,Messitytönkatu,3934.0,1108,2019-06-30 03:58:04
207,2019-06-30 04:10:17,41,Ympyrätalo,26.0,Kamppi (M),2284.0,718,2019-06-30 03:58:03
208,2019-06-30 04:03:31,41,Ympyrätalo,122.0,Lintulahdenkatu,950.0,333,2019-06-30 03:57:52
209,2019-06-30 04:01:12,256,Herttoniemenranta,257.0,Margareetankuja,689.0,203,2019-06-30 03:57:47
210,2019-06-30 04:01:16,256,Herttoniemenranta,257.0,Margareetankuja,688.0,249,2019-06-30 03:57:05
211,2019-06-30 04:16:26,24,Mannerheimintie,57.0,Lauttasaaren ostoskeskus,3391.0,1168,2019-06-30 03:56:54
212,2019-06-30 04:00:33,119,Gebhardinaukio,130.0,Teollisuuskatu,592.0,214,2019-06-30 03:56:54
213,2019-06-30 04:00:20,119,Gebhardinaukio,130.0,Teollisuuskatu,569.0,204,2019-06-30 03:56:52
214,2019-06-30 04:25:35,14,Senaatintori,130.0,Teollisuuskatu,4049.0,1741,2019-06-30 03:56:29
215,2019-06-30 04:13:24,122,Lintulahdenkatu,255.0,Laivalahden puistotie,4539.0,1038,2019-06-30 03:56:01
